latitude	longitude	store_name	code	location	imei
3.27833	32.88667	Kitgum	UG	Africa/Kampala	3590433799317662337
9.3337	122.8637	Santa Catalina	PH	Asia/Manila	3590433799317662212
59.37722	28.19028	Narva	EE	Europe/Tallinn	8630330696303481438
44.92801	4.8951	Valence	FR	Europe/Paris	3590433799317661511
30.29184	71.67164	Qadirpur Ran	PK	Asia/Karachi	359043379931766502
42.7	27.25	Aytos	BG	Europe/Sofia	8630330696303481446
38.17492	-122.2608	American Canyon	US	America/Los_Angeles	3590433799317662352
41.94175	123.50266	Hushitai	CN	Asia/Shanghai	8630330696303481768
16.68911	98.50893	Myawadi	MM	Asia/Yangon	3590433799317661644
15.5439	73.7553	Calangute	IN	Asia/Kolkata	3590433799317661990
33.86419	48.26258	Aleshtar	IR	Asia/Tehran	3590433799317661529
45.75279	130.57211	Boli	CN	Asia/Shanghai	8630330696303481875
8.62261	-70.20749	Barinas	VE	America/Caracas	863033069630348925
17.94979	-94.91386	Acayucan	MX	America/Mexico_City	3590433799317661180
8.48714	-13.2356	Freetown	SL	Africa/Freetown	863033069630348065
33.86419	48.26258	Aleshtar	IR	Asia/Tehran	8630330696303482246
45.69558	4.7934	Saint-Genis-Laval	FR	Europe/Paris	8630330696303481644
-28.24	-48.67028	Imbituba	BR	America/Sao_Paulo	359043379931766114
29.84576	-90.10674	Estelle	US	America/Chicago	359043379931766825
10.61285	12.19458	Biu	NG	Africa/Lagos	863033069630348222
-23.85972	35.34722	Maxixe	MZ	Africa/Maputo	3590433799317661883
42.58342	-71.8023	Fitchburg	US	America/New_York	359043379931766510
39.09112	-94.41551	Independence	US	America/Chicago	863033069630348891
31.96258	73.97117	Naushahra Virkan	PK	Asia/Karachi	359043379931766809
36.76639	3.47717	Boumerdas	DZ	Africa/Algiers	359043379931766411
54.39635	24.04142	Alytus	LT	Europe/Vilnius	3590433799317662469
34.09611	-118.10583	San Gabriel	US	America/Los_Angeles	8630330696303481263
46.7055	38.2739	Yeysk	RU	Europe/Moscow	3590433799317661248
50.598427	13.610242	Litvínov	CZ	Europe/Prague	863033069630348651
36.81667	117.81667	Zhoucun	CN	Asia/Shanghai	3590433799317661784
30.35028	112.19028	Jingzhou	CN	Asia/Shanghai	359043379931766569
-19.72806	-50.19556	Iturama	BR	America/Sao_Paulo	8630330696303482154
-28.81833	-52.51028	Soledade	BR	America/Sao_Paulo	8630330696303481404
47.4943	-122.24092	Bryn Mawr-Skyway	US	America/Los_Angeles	3590433799317661164
-31.25033	-61.4867	Rafaela	AR	America/Argentina/Cordoba	8630330696303481396
60.02427	30.28491	Kolomyagi	RU	Europe/Moscow	3590433799317662071
41.14676	-73.49484	New Canaan	US	America/New_York	8630330696303481701
53.14657	140.72287	Nikolayevsk-on-Amure	RU	Asia/Vladivostok	3590433799317661354
37.1759	128.9889	T‚Äôaebaek	KR	Asia/Seoul	359043379931766247
-1.9487	30.4347	Rwamagana	RW	Africa/Kigali	863033069630348032
29.22254	79.5286	Haldwani	IN	Asia/Kolkata	8630330696303481644
47.05	15.46667	Sankt Peter	AT	Europe/Vienna	3590433799317661917
45.50369	11.412	Montecchio Maggiore-Alte Ceccato	IT	Europe/Rome	8630330696303481008
40.85158	122.74754	Haicheng	CN	Asia/Shanghai	8630330696303481347
28.88162	120.03308	Guli	CN	Asia/Shanghai	3590433799317662360
38.91817	-78.19444	Front Royal	US	America/New_York	8630330696303482303
32.55531	76.12647	Chamba	IN	Asia/Kolkata	359043379931766536
3.51667	11.5	Mbalmayo	CM	Africa/Douala	359043379931766775
13.8196	100.04427	Nakhon Pathom	TH	Asia/Bangkok	3590433799317661461
17.94979	-94.91386	Acayucan	MX	America/Mexico_City	8630330696303481982
42	21.32778	Saraj	MK	Europe/Skopje	3590433799317661933
14.95472	120.89694	Baliuag	PH	Asia/Manila	8630330696303481529
51.42708	-0.91979	Lower Earley	GB	Europe/London	863033069630348438
35.64889	117.27583	Sishui	CN	Asia/Shanghai	359043379931766643
55.82885	-4.21376	Rutherglen	GB	Europe/London	863033069630348602
45.79377	8.88104	Malnate	IT	Europe/Rome	863033069630348909
47.48444	36.25361	Polohy	UA	Europe/Zaporozhye	3590433799317662493
38.91817	-78.19444	Front Royal	US	America/New_York	863033069630348503
52.41667	0.75	Thetford	GB	Europe/London	359043379931766213
51.95838	4.47124	Schiebroek	NL	Europe/Amsterdam	359043379931766999
25.75728	75.37991	Deoli	IN	Asia/Kolkata	3590433799317662394
11.85	38.01667	Debre Tabor	ET	Africa/Addis_Ababa	8630330696303481719
47.4943	-122.24092	Bryn Mawr-Skyway	US	America/Los_Angeles	3590433799317661354
38.68712	-4.10734	Puertollano	ES	Europe/Madrid	3590433799317661230
47.76232	-122.2054	Bothell	US	America/Los_Angeles	3590433799317662188
48.8449	17.22635	Skalica	SK	Europe/Bratislava	3590433799317662121
9.89206	43.38531	Baki	SO	Africa/Mogadishu	3590433799317661594
44.92934	37.99117	Krymsk	RU	Europe/Moscow	3590433799317661750
-8.43333	114.33333	Muncar	ID	Asia/Jakarta	3590433799317662014
37.56667	140.11667	Inawashiro	JP	Asia/Tokyo	8630330696303481230
33.37526	74.3092	Rajaori	IN	Asia/Kolkata	8630330696303482063
38.47917	-1.325	Jumilla	ES	Europe/Madrid	359043379931766437
18.87813	72.93924	Uran	IN	Asia/Kolkata	359043379931766379
40.1675	34.37389	Sungurlu	TR	Europe/Istanbul	8630330696303482188
47.80527	-122.24064	Bothell West	US	America/Los_Angeles	359043379931766080
32.05971	34.8732	Ganei Tikva	IL	Asia/Jerusalem	863033069630348081
53.46506	-1.47217	Chapletown	GB	Europe/London	8630330696303481073
50.23271	12.87117	Karlovy Vary	CZ	Europe/Prague	359043379931766973
23.02677	113.13148	Foshan	CN	Asia/Shanghai	359043379931766221
23.1959	86.51499	Kenda	IN	Asia/Kolkata	8630330696303481750
53.0233	-1.48119	Belper	GB	Europe/London	3590433799317662469
4.94273	15.87735	Carnot	CF	Africa/Bangui	3590433799317661479
13.56667	-15.6	Farafenni	GM	Africa/Banjul	3590433799317662162
42.8139	-1.64295	Segundo Ensanche	ES	Europe/Madrid	863033069630348941
47.83333	59.6	Shalqar	KZ	Asia/Aqtobe	359043379931766825
41.80753	-87.65644	New City	US	America/Chicago	359043379931766817
56.85836	35.90057	Tver	RU	Europe/Moscow	3590433799317661479
42.50729	1.53414	les Escaldes	AD	Europe/Andorra	8630330696303482428
53.93361	37.92792	Kireyevsk	RU	Europe/Moscow	8630330696303482204
27.92333	118.53333	Pucheng	CN	Asia/Shanghai	3590433799317661651
46.51872	86.00214	Hoxtolgay	CN	Asia/Urumqi	8630330696303481420
3.3285	99.1625	Tebingtinggi	ID	Asia/Jakarta	3590433799317661461
41.57439	24.71204	Smolyan	BG	Europe/Sofia	359043379931766023
25.87972	-97.50417	Heroica Matamoros	MX	America/Matamoros	3590433799317661834
37.56667	140.11667	Inawashiro	JP	Asia/Tokyo	863033069630348826
51.65333	5.2875	Vught	NL	Europe/Amsterdam	863033069630348354
38.40917	112.73333	Xinzhou	CN	Asia/Shanghai	863033069630348388
56.85836	35.90057	Tver	RU	Europe/Moscow	359043379931766486
49.738430	13.373637	Plzeň	CZ	Europe/Prague	8630330696303481438
25.75728	75.37991	Deoli	IN	Asia/Kolkata	3590433799317662329
-4.42472	-41.45861	Pedro II	BR	America/Fortaleza	863033069630348081
40.24537	-75.64963	Pottstown	US	America/New_York	359043379931766270
46.65581	32.6178	Kherson	UA	Europe/Kyiv	359043379931766692
48.25	16.4	Floridsdorf	AT	Europe/Vienna	863033069630348388
36.33011	138.89585	Annaka	JP	Asia/Tokyo	8630330696303482063
21.28306	-89.66123	Progreso	MX	America/Merida	8630330696303481958
45.9836	12.70038	Cordenons	IT	Europe/Rome	3590433799317662220
41.75338	-86.11084	Granger	US	America/Indiana/Indianapolis	359043379931766460
43.32686	-2.98884	Leioa	ES	Europe/Madrid	8630330696303482170
52.14	5.58472	Barneveld	NL	Europe/Amsterdam	863033069630348172
53.0233	-1.48119	Belper	GB	Europe/London	8630330696303482162
36.76639	3.47717	Boumerdas	DZ	Africa/Algiers	863033069630348123
51.78771	56.36091	Saraktash	RU	Asia/Yekaterinburg	8630330696303482071
39.45621	-77.96389	Martinsburg	US	America/New_York	863033069630348727
4.88441	101.96857	Gua Musang	MY	Asia/Kuala_Lumpur	8630330696303482345
32.87533	71.57118	Daud Khel	PK	Asia/Karachi	8630330696303481933
25.6439	77.9129	Narwar	IN	Asia/Kolkata	863033069630348537
-21.41222	-42.19667	Miracema	BR	America/Sao_Paulo	863033069630348321
-2.68333	33	Usagara	TZ	Africa/Dar_es_Salaam	359043379931766007
41.82143	41.77921	Kobuleti	GE	Asia/Tbilisi	863033069630348677
40.11583	67.84222	Jizzax	UZ	Asia/Samarkand	359043379931766478
-38.16604	145.13643	Frankston South	AU	Australia/Melbourne	359043379931766585
40.93333	73	Jalal-Abad	KG	Asia/Bishkek	8630330696303481479
-23.7975	-48.59278	Buri	BR	America/Sao_Paulo	3590433799317662220
13.48082	-86.58208	Somoto	NI	America/Managua	863033069630348180
9.57046	76.32756	Kalavoor	IN	Asia/Kolkata	359043379931766510
42.24113	-88.3162	Crystal Lake	US	America/Chicago	8630330696303481503
41.16704	-73.20483	Bridgeport	US	America/New_York	359043379931766460
53.30972	83.62389	Novosilikatnyy	RU	Asia/Barnaul	3590433799317661180
0.51667	101.44167	Pekanbaru	ID	Asia/Jakarta	3590433799317661909
32.42067	-104.22884	Carlsbad	US	America/Denver	863033069630348503
50.75767	-1.5443	Lymington	GB	Europe/London	3590433799317661594
35.88264	-80.08199	Thomasville	US	America/New_York	3590433799317661198
51.39323	0.47713	Strood	GB	Europe/London	3590433799317661107
-54.8	-68.3	Ushuaia	AR	America/Argentina/Ushuaia	8630330696303481040
25.49043	85.94001	Teghra	IN	Asia/Kolkata	8630330696303481776
-1.63333	13.58357	Franceville	GA	Africa/Libreville	359043379931766361
-8.66667	-35.71667	Catende	BR	America/Recife	359043379931766544
-21.15	46.58333	Ikalamavony	MG	Indian/Antananarivo	3590433799317661784
45.50369	11.412	Montecchio Maggiore-Alte Ceccato	IT	Europe/Rome	3590433799317662196
50.82882	-0.32247	Lancing	GB	Europe/London	8630330696303481875
50.72043	11.34046	Rudolstadt	DE	Europe/Berlin	863033069630348073
41.63976	2.35739	Cardedeu	ES	Europe/Madrid	3590433799317662402
-8.66667	-35.71667	Catende	BR	America/Recife	359043379931766981
10.98778	-74.95472	Puerto Colombia	CO	America/Bogota	3590433799317662113
-21.42917	-45.94722	Alfenas	BR	America/Sao_Paulo	359043379931766700
-6.25	38.66667	Mvomero	TZ	Africa/Dar_es_Salaam	8630330696303482170
-20.25333	-43.80139	Itabirito	BR	America/Sao_Paulo	3590433799317662089
35.48199	137.02166	Minokamo	JP	Asia/Tokyo	8630330696303481586
36	139.55722	Okegawa	JP	Asia/Tokyo	3590433799317661107
-14.66463	-52.35558	Nova Xavantina	BR	America/Cuiaba	863033069630348693
51.95838	4.47124	Schiebroek	NL	Europe/Amsterdam	863033069630348750
43.83125	5.03586	Cavaillon	FR	Europe/Paris	359043379931766528
32.42067	-104.22884	Carlsbad	US	America/Denver	359043379931766650
27.34089	117.4831	Shaowu	CN	Asia/Shanghai	3590433799317661438
40.37528	28.88222	Mudanya	TR	Europe/Istanbul	3590433799317662386
-3.14306	-58.44417	Itacoatiara	BR	America/Manaus	359043379931766395
42.24113	-88.3162	Crystal Lake	US	America/Chicago	863033069630348982
42.8334	-80.38297	Norfolk County	CA	America/Toronto	8630330696303481131
48.8765	2.18967	Rueil-Malmaison	FR	Europe/Paris	3590433799317662162
-7.51611	109.05389	Wangon	ID	Asia/Jakarta	359043379931766361
46.32313	-0.45877	Niort	FR	Europe/Paris	8630330696303481834
31.84568	-102.36764	Odessa	US	America/Chicago	3590433799317661768
37.49073	-2.77259	Baza	ES	Europe/Madrid	3590433799317661974
-20.25333	-43.80139	Itabirito	BR	America/Sao_Paulo	359043379931766429
42.16808	-88.42814	Huntley	US	America/Chicago	863033069630348891
43.32686	-2.98884	Leioa	ES	Europe/Madrid	863033069630348594
39.32011	-76.51552	Rosedale	US	America/New_York	8630330696303481610
41.1053	-7.32097	Custoias	PT	Europe/Lisbon	3590433799317661792
50.20528	19.27498	Jaworzno	PL	Europe/Warsaw	863033069630348420
36.72544	3.55665	Thenia	DZ	Africa/Algiers	3590433799317661958
49.183239	15.454273	Telč	CZ	Europe/Prague	863033069630348735
44.97639	19.61222	Sremska Mitrovica	RS	Europe/Belgrade	8630330696303481438
35.815	139.6853	Shimotoda	JP	Asia/Tokyo	8630330696303481164
48.78232	9.17702	Stuttgart	DE	Europe/Berlin	863033069630348636
45.79377	8.88104	Malnate	IT	Europe/Rome	8630330696303482097
6.15038	6.83042	Nkpor	NG	Africa/Lagos	8630330696303481529
36.65	138.31667	Suzaka	JP	Asia/Tokyo	8630330696303482329
49.820923	18.262524	Ostrava	CZ	Europe/Prague	8630330696303482378
11.50526	77.23826	Sathyamangalam	IN	Asia/Kolkata	8630330696303481776
16.06213	76.0586	Hungund	IN	Asia/Kolkata	8630330696303481842
45.39402	9.29109	San Giuliano Milanese	IT	Europe/Rome	359043379931766296
49.97704	9.15214	Aschaffenburg	DE	Europe/Berlin	8630330696303481446
43.71032	-1.05366	Dax	FR	Europe/Paris	359043379931766627
-19.72806	-50.19556	Iturama	BR	America/Sao_Paulo	863033069630348552
46.32313	-0.45877	Niort	FR	Europe/Paris	3590433799317661321
33.14447	47.3799	Darreh Shahr	IR	Asia/Tehran	359043379931766049
-6.91806	106.92667	Sukabumi	ID	Asia/Jakarta	3590433799317661867
10.7375	122.9666	Talisay	PH	Asia/Manila	8630330696303482337
45.49428	-122.86705	Aloha	US	America/Los_Angeles	8630330696303482295
37.31065	13.57661	Agrigento	IT	Europe/Rome	8630330696303482022
-34.74785	-58.70072	Pontevedra	AR	America/Argentina/Buenos_Aires	359043379931766361
18.51957	73.85535	Pune	IN	Asia/Kolkata	8630330696303482196
54.03876	43.91385	Kovylkino	RU	Europe/Moscow	8630330696303481693
12.04161	75.35927	Talipparamba	IN	Asia/Kolkata	8630330696303482295
49.03685	8.70745	Bretten	DE	Europe/Berlin	863033069630348859
42.55308	-87.93341	Pleasant Prairie	US	America/Chicago	3590433799317661461
37.71715	-122.40433	Visitacion Valley	US	America/Los_Angeles	3590433799317661594
-11.78333	19.91667	Luena	AO	Africa/Luanda	3590433799317661370
53.53395	33.72798	Zhukovka	RU	Europe/Moscow	8630330696303481024
35.95664	36.7138	Binnish	SY	Asia/Damascus	8630330696303482261
58.7002	59.4839	Kachkanar	RU	Asia/Yekaterinburg	863033069630348321
56.11281	69.49015	Ishim	RU	Asia/Yekaterinburg	3590433799317662410
21.53889	71.57737	Gariadhar	IN	Asia/Kolkata	8630330696303481156
26.91756	-82.07842	Punta Gorda Isles	US	America/New_York	3590433799317662238
51.03427	5.37429	Houthalen	BE	Europe/Brussels	3590433799317662477
44.35056	142.45778	Nayoro	JP	Asia/Tokyo	863033069630348644
33.08014	-83.2321	Milledgeville	US	America/New_York	8630330696303481701
35.25064	-91.73625	Searcy	US	America/Chicago	863033069630348297
16.06213	76.0586	Hungund	IN	Asia/Kolkata	3590433799317661271
27.09978	-82.45426	Venice	US	America/New_York	863033069630348685
40.72816	-74.07764	Jersey City	US	America/New_York	3590433799317661719
10.58806	77.24779	Udumalaippettai	IN	Asia/Kolkata	8630330696303481479
54.03876	43.91385	Kovylkino	RU	Europe/Moscow	359043379931766270
-54.8	-68.3	Ushuaia	AR	America/Argentina/Ushuaia	8630330696303481669
53.49389	-1.29243	Mexborough	GB	Europe/London	3590433799317661727
39.96097	-75.60804	West Chester	US	America/New_York	8630330696303482410
-22.57306	-47.1725	Artur Nogueira	BR	America/Sao_Paulo	863033069630348321
48.49144	9.20427	Reutlingen	DE	Europe/Berlin	863033069630348560
52.48173	-2.12139	Brierley Hill	GB	Europe/London	8630330696303482238
25.87972	-97.50417	Heroica Matamoros	MX	America/Matamoros	3590433799317661164
35.8	137.23333	Gero	JP	Asia/Tokyo	863033069630348602
-0.71667	-48.52333	Soure	BR	America/Belem	8630330696303482147
51.14942	15.00835	Zgorzelec	PL	Europe/Warsaw	3590433799317662451
58.1908	40.17171	Danilov	RU	Europe/Moscow	3590433799317661362
41.47892	-87.45476	Schererville	US	America/Chicago	863033069630348396
50.71229	4.52529	Rixensart	BE	Europe/Brussels	3590433799317661529
58.04254	65.27258	Tavda	RU	Asia/Yekaterinburg	3590433799317661339
34.63915	-120.45794	Lompoc	US	America/Los_Angeles	8630330696303482261
44.75874	19.21437	Bijeljina	BA	Europe/Sarajevo	8630330696303482089
43.32393	5.4584	Les Olives	FR	Europe/Paris	8630330696303482303
31.84568	-102.36764	Odessa	US	America/Chicago	3590433799317662295
51.39148	-0.29825	Surbiton	GB	Europe/London	3590433799317661164
35.64889	117.27583	Sishui	CN	Asia/Shanghai	359043379931766890
11.85	38.01667	Debre Tabor	ET	Africa/Addis_Ababa	8630330696303481412
43.4125	23.225	Montana	BG	Europe/Sofia	863033069630348412
9.6531	124.3697	Jagna	PH	Asia/Manila	8630330696303481735
44.92934	37.99117	Krymsk	RU	Europe/Moscow	359043379931766759
-11.78333	19.91667	Luena	AO	Africa/Luanda	863033069630348867
38.37255	34.02537	Aksaray	TR	Europe/Istanbul	863033069630348412
40.5576	-74.28459	Woodbridge	US	America/New_York	359043379931766031
42.62833	20.89389	Glogovac	XK	Europe/Belgrade	8630330696303482253
7.06273	-1.4001	Mampong	GH	Africa/Accra	3590433799317662337
28.90054	-81.26367	Deltona	US	America/New_York	3590433799317662204
27.9247	78.40102	Chharra	IN	Asia/Kolkata	863033069630348693
0.03813	36.36339	Nyahururu	KE	Africa/Nairobi	8630330696303482261
40.56754	-89.64066	Pekin	US	America/Chicago	8630330696303481321
55.82885	-4.21376	Rutherglen	GB	Europe/London	3590433799317661743
24.41288	76.56719	Aklera	IN	Asia/Kolkata	8630330696303481115
61.78491	34.34691	Petrozavodsk	RU	Europe/Moscow	863033069630348230
15.48131	-86.57415	Olanchito	HN	America/Tegucigalpa	8630330696303481370
38.07789	13.44275	Villabate	IT	Europe/Rome	863033069630348644
39.59611	27.02444	Edremit	TR	Europe/Istanbul	863033069630348347
-34.64966	-58.38341	Barracas	AR	America/Argentina/Buenos_Aires	3590433799317662121
7.06273	-1.4001	Mampong	GH	Africa/Accra	8630330696303482097
46.08333	122.08333	Ulanhot	CN	Asia/Shanghai	3590433799317661966
-34.64167	-60.47389	Chacabuco	AR	America/Argentina/Buenos_Aires	3590433799317661578
47.80527	-122.24064	Bothell West	US	America/Los_Angeles	3590433799317661396
9.535	-13.68778	Camayenne	GN	Africa/Conakry	8630330696303481297
-34.64966	-58.38341	Barracas	AR	America/Argentina/Buenos_Aires	8630330696303481941
27.92333	118.53333	Pucheng	CN	Asia/Shanghai	3590433799317661024
51.65	-0.2	Barnet	GB	Europe/London	359043379931766445
38.72706	-9.24671	Carnaxide	PT	Europe/Lisbon	8630330696303481669
-7.01833	107.60389	Pameungpeuk	ID	Asia/Jakarta	3590433799317661115
4.73245	-74.26419	Madrid	CO	America/Bogota	8630330696303481701
-4.16694	-40.7475	Guaraciaba do Norte	BR	America/Fortaleza	359043379931766650
51.47805	6.8625	Oberhausen	DE	Europe/Berlin	3590433799317661321
7.57944	-8.53778	New Yekepa	LR	Africa/Monrovia	8630330696303481636
38.47917	-1.325	Jumilla	ES	Europe/Madrid	8630330696303481693
25.95533	68.88871	Jhol	PK	Asia/Karachi	359043379931766494
65.84811	24.14662	Tornio	FI	Europe/Helsinki	3590433799317661198
47.46657	84.87144	Zaysan	KZ	Asia/Almaty	863033069630348628
49.5099	6.74549	Losheim	DE	Europe/Berlin	8630330696303481578
51.42708	-0.91979	Lower Earley	GB	Europe/London	863033069630348230
23.15678	-81.24441	Varadero	CU	America/Havana	8630330696303481388
39.45621	-77.96389	Martinsburg	US	America/New_York	863033069630348065
14.0823	98.19151	Dawei	MM	Asia/Yangon	863033069630348404
33.41012	-91.06177	Greenville	US	America/Chicago	8630330696303482006
50.7236	-3.52751	Exeter	GB	Europe/London	8630330696303481487
29.65163	-82.32483	Gainesville	US	America/New_York	8630330696303481271
-22.9	44.53333	Sakaraha	MG	Indian/Antananarivo	863033069630348172
42.22718	14.39024	Lanciano	IT	Europe/Rome	863033069630348289
43.2907	5.4384	Marseille 11	FR	Europe/Paris	8630330696303482105
35.82756	137.95378	Ina	JP	Asia/Tokyo	8630330696303481404
-6.48167	106.85417	Cibinong	ID	Asia/Jakarta	8630330696303481008
32.35126	-95.30106	Tyler	US	America/Chicago	359043379931766189
41.80753	-87.65644	New City	US	America/Chicago	863033069630348156
9.91861	-68.30472	Tinaquillo	VE	America/Caracas	8630330696303481073
49.97704	9.15214	Aschaffenburg	DE	Europe/Berlin	359043379931766478
42.28639	18.84	Budva	ME	Europe/Podgorica	8630330696303482147
-44.39672	171.25364	Timaru	NZ	Pacific/Auckland	8630330696303481677
43.71032	-1.05366	Dax	FR	Europe/Paris	359043379931766007
8.48714	-13.2356	Freetown	SL	Africa/Freetown	3590433799317662063
37.49073	-2.77259	Baza	ES	Europe/Madrid	359043379931766478
-22.57306	-47.1725	Artur Nogueira	BR	America/Sao_Paulo	359043379931766049
51.12794	4.21372	Temse	BE	Europe/Brussels	863033069630348917
38.10558	-1.86343	Caravaca	ES	Europe/Madrid	8630330696303481982
44.92934	37.99117	Krymsk	RU	Europe/Moscow	359043379931766403
50.23805	8.86704	Nidderau	DE	Europe/Berlin	8630330696303482253
12.74409	-8.07257	Kati	ML	Africa/Bamako	359043379931766908
-23.85972	35.34722	Maxixe	MZ	Africa/Maputo	8630330696303482386
19.64745	-102.04897	Paracho de Verduzco	MX	America/Mexico_City	863033069630348149
35.06544	1.04945	Frenda	DZ	Africa/Algiers	8630330696303481651
-22.9	44.53333	Sakaraha	MG	Indian/Antananarivo	863033069630348669
