ts	imei	mwra	p.android.settings	p.android.packageinstaller	p.android.gm	p.android.documentsui	p.android.chrome	p.system	p.android.externalstorage	p.google	p.olauncher	p.android.gms	p.browser.provider	p.process.gapps	p.dogalize	p.gms.persistent	p.android.vending	p.android.defcontainer	p.simulator	p.notifier	p.inputmethod.latin	p.katana
2018-05-05 10:10:00	8630330696303481529	0.00000	10.11702	13.27759	12.34115	14.76528	10.26434	10.81101	9.01891	55.14298	66.83941	43.47535	40.87667	12.83296	26.48349	86.02217	7.73312	36.77421	32.38820	24.46461	49.15890	54.91539
2018-05-05 10:11:00	3590433799317661420	1.00000	14.90132	6.88394	12.67646	8.98629	16.55657	10.78792	9.27187	54.14377	38.74361	39.97452	48.64974	37.50644	89.36892	98.31133	54.56885	89.70103	74.77627	41.37781	89.93408	7.57755
2018-05-05 10:12:00	8630330696303482378	1.00000	7.30706	10.04439	11.78101	11.02394	16.91040	13.87686	7.41169	65.58383	14.31141	66.02682	57.85757	26.20681	86.52092	75.20703	55.05539	26.40099	90.00083	91.59368	46.60483	31.30597
2018-05-05 10:13:00	3590433799317661933	1.00000	6.15155	10.38566	10.52479	12.54058	12.35070	13.15747	3.43604	62.05553	58.88474	67.51105	44.06822	38.77633	65.20773	98.42386	31.26259	14.53515	10.78902	46.20893	78.67651	94.88903
2018-05-05 10:14:00	863033069630348735	1.00000	11.56334	6.00133	11.49605	7.65637	11.90835	10.25340	9.51922	60.41193	30.90198	49.94242	40.49953	85.56732	14.44114	52.16851	73.74017	20.57591	10.47331	16.44396	91.45199	79.84734
2018-05-05 10:15:00	359043379931766957	1.00000	8.84835	6.05940	11.71133	12.51218	10.02728	10.52368	9.93769	62.24718	38.88898	55.51511	59.31663	14.19250	33.46905	8.44744	45.47107	92.57988	4.94019	24.39004	30.73513	83.13520
2018-05-05 10:16:00	8630330696303481891	1.00000	7.80273	5.31433	12.27105	8.33000	9.98181	9.22335	9.90738	51.51622	39.18586	57.18068	43.75417	42.44467	6.80222	62.83843	23.59860	82.93806	44.59442	75.94158	6.19650	56.18596
2018-05-05 10:17:00	359043379931766783	0.00000	7.65040	13.17361	12.28217	11.11867	10.81347	12.51727	13.40165	67.92862	38.46797	55.81627	63.95725	63.38986	21.59692	98.64851	94.63032	64.56440	75.55368	35.11579	48.13415	35.67996
2018-05-05 10:18:00	863033069630348297	0.00000	12.40236	12.88570	11.91204	10.86583	9.70216	7.93012	6.55027	58.07735	42.77120	50.79584	58.16798	27.80402	88.24578	14.89865	98.05633	24.34369	86.79895	15.93148	29.94631	17.67567
2018-05-05 10:19:00	359043379931766650	1.00000	11.75191	8.25800	8.60629	10.57818	10.84648	11.83845	9.08442	53.05550	33.93636	40.92975	38.53032	87.92454	99.68771	15.90188	12.09798	82.93329	71.58913	11.69545	83.85705	80.50673
2018-05-05 10:20:00	3590433799317661859	1.00000	9.13631	8.13751	9.60919	13.35208	11.57722	12.03529	7.31493	74.06273	39.16864	71.96685	39.70987	78.74684	51.48165	23.31258	84.11767	29.85457	75.45218	25.20480	87.41872	2.07425
2018-05-05 10:21:00	359043379931766205	0.00000	9.92483	13.53158	12.26830	13.33340	10.15773	11.31820	9.82032	38.43692	56.81427	67.73383	54.77296	75.35238	25.03911	80.44951	21.17857	52.82893	73.74497	93.42777	75.86379	23.12442
2018-05-05 10:22:00	8630330696303481248	0.00000	9.77204	10.68229	9.97645	8.64630	14.97841	12.68187	8.66628	66.03933	49.94814	63.13178	51.50513	40.36059	2.07146	84.36708	68.02458	46.41050	53.19119	4.84422	65.28928	74.66314
2018-05-05 10:23:00	8630330696303482113	0.00000	9.73486	10.29935	10.89952	11.26902	11.99810	14.77988	12.32522	57.08560	55.10262	42.56363	65.83675	55.51384	91.40736	70.27025	2.51339	69.75592	86.00835	76.39080	85.39012	47.14827
2018-05-05 10:24:00	863033069630348347	1.00000	9.59929	9.04829	9.51123	5.94745	16.05764	12.58291	5.28000	70.02108	65.85170	63.80835	72.42600	52.07882	20.15181	3.65854	0.82093	67.71635	89.98115	10.27630	53.18046	93.33842
2018-05-05 10:25:00	8630330696303481891	1.00000	14.70192	9.10635	5.64327	13.44058	12.63317	14.20043	9.75947	76.37830	57.89226	49.62735	32.74234	0.46964	18.33312	64.66469	63.84071	18.63805	2.85324	42.14521	87.98871	76.94495
2018-05-05 10:26:00	3590433799317661388	1.00000	10.32521	6.80649	10.26882	9.90554	8.94868	9.90576	11.21193	56.86482	56.65522	48.73860	84.08580	24.87825	51.21349	21.28894	50.85886	29.85715	57.65357	14.97729	57.48301	57.94402
2018-05-05 10:27:00	3590433799317661933	1.00000	12.24152	11.15070	11.02064	9.47081	15.39346	11.25714	8.97175	66.52320	47.38396	38.59634	36.85706	6.25695	29.54858	35.56379	35.39272	36.38369	70.45028	15.56256	43.37920	30.65678
2018-05-05 10:28:00	863033069630348107	0.00000	7.69925	10.65736	13.89217	12.56441	16.37988	4.26949	8.54679	69.72866	48.40527	39.52316	46.23883	56.80258	20.44401	64.92558	86.30526	44.12364	51.80428	38.09503	95.09838	89.38934
2018-05-05 10:29:00	3590433799317661156	0.00000	8.94254	12.38336	11.40880	9.64481	10.93447	12.11529	10.51792	54.02809	44.91062	53.93336	45.47743	63.94367	56.23030	88.91907	16.79210	3.29840	68.05148	26.13683	94.85602	32.31147
2018-05-05 10:30:00	359043379931766361	1.00000	10.98096	7.67929	10.36228	15.05680	11.26758	14.50155	12.76599	63.47839	38.51172	50.00972	79.62695	81.02949	14.29815	0.04974	18.28751	8.73298	11.48568	11.16767	6.23330	5.50026
2018-05-05 10:31:00	359043379931766551	0.00000	10.56750	9.19177	9.97802	12.65149	11.61108	15.32646	8.44946	64.76136	34.61741	61.57115	49.01509	30.41405	16.17556	54.51156	31.35317	68.83102	88.84012	63.06041	92.26425	87.34133
2018-05-05 10:32:00	8630330696303482352	1.00000	10.43555	8.08434	9.84846	8.26383	12.40956	10.79859	8.36639	62.59152	81.17724	44.44389	60.88764	57.51798	83.92496	17.65664	48.53472	59.29978	34.54683	97.03141	56.16768	82.69690
2018-05-05 10:33:00	863033069630348362	1.00000	9.12282	5.96991	10.39305	13.34967	10.10932	13.00315	8.32523	38.08957	37.47540	57.98616	46.57641	89.31255	27.56637	48.20645	51.16801	78.15901	98.40524	65.42818	37.59990	32.46674
2018-05-05 10:34:00	359043379931766635	1.00000	13.51747	6.39080	7.16401	10.05705	8.71133	13.86990	9.52311	69.98886	35.85410	62.17779	44.75154	38.72683	28.63043	86.96282	10.60590	92.81617	70.43830	62.67026	90.24310	1.14735
2018-05-05 10:35:00	8630330696303481388	1.00000	8.10949	8.28205	12.21951	11.39717	11.49375	10.88350	9.10140	49.13057	42.08622	43.90928	40.43459	63.96401	47.50760	58.95347	19.82979	79.97952	49.93462	59.26011	99.50252	12.16009
2018-05-05 10:36:00	359043379931766429	1.00000	11.65267	7.43734	10.17326	6.13889	10.08417	12.18065	6.68898	60.55608	52.06444	31.26691	52.10734	38.95129	33.04012	91.74132	71.78750	87.78602	5.66503	68.91126	18.29416	56.10081
2018-05-05 10:37:00	3590433799317661966	1.00000	9.99704	7.15896	10.53256	6.81474	13.71705	9.93440	9.39460	62.66631	52.93482	47.24754	48.36423	53.31022	22.53176	98.51860	61.11547	89.88670	43.97888	85.93710	14.00840	94.31494
2018-05-05 10:38:00	8630330696303481040	1.00000	14.31699	6.19073	7.22341	7.48743	13.95428	11.48266	8.98953	67.95311	22.65325	41.12660	28.44345	6.18581	31.44027	89.74761	22.88024	43.58809	26.57459	80.16839	58.86522	52.78754
2018-05-05 10:39:00	863033069630348354	1.00000	7.81400	7.85177	11.51317	9.73172	14.15471	12.88262	5.36421	63.74237	49.21097	38.98179	64.46957	33.75300	20.77065	29.22013	23.02665	22.94828	55.35864	32.71768	18.29350	58.51106
2018-05-05 10:40:00	863033069630348974	1.00000	12.27144	5.60439	9.45144	9.76827	10.75679	9.72775	11.96244	59.81118	34.17416	58.38965	34.97104	20.08778	4.64913	3.95104	9.89656	67.44396	51.47652	62.18412	50.92747	75.22320
2018-05-05 10:41:00	359043379931766221	0.00000	7.03479	13.87069	14.39543	12.40253	16.51176	7.75637	9.78070	56.52334	55.65840	66.52521	59.49453	50.97727	47.50850	20.36651	37.01559	24.08391	99.41372	26.65832	30.11129	31.36933
2018-05-05 10:42:00	863033069630348248	1.00000	10.72449	9.63156	9.37791	9.31237	9.71360	13.80966	7.34363	51.88403	48.74906	43.86720	47.58888	78.63269	16.27124	91.57898	60.21564	48.78643	66.72645	66.18133	8.33574	98.61287
2018-05-05 10:43:00	3590433799317661800	0.00000	7.22201	13.11379	11.97974	6.93007	14.62508	11.86237	10.34419	66.51894	49.72249	61.48936	39.49954	48.12565	57.84958	13.47385	10.21633	66.47240	14.89480	29.20964	43.87599	20.65671
2018-05-05 10:44:00	8630330696303482188	1.00000	10.06522	9.15257	11.68478	10.53839	10.24880	11.62466	11.33655	70.00699	47.82659	31.83941	33.68037	25.91319	94.06905	28.24444	4.12814	76.31556	63.19080	20.28645	90.35108	4.06140
2018-05-05 10:45:00	3590433799317662147	0.00000	9.26206	14.61194	11.90546	11.03188	12.00765	11.73278	10.55394	75.91852	45.49244	61.85966	57.51635	40.22566	8.26811	42.70137	92.42762	77.41821	46.57301	51.01210	90.57585	72.42158
2018-05-05 10:46:00	8630330696303481719	1.00000	8.76964	10.69139	8.86712	14.16634	13.07447	15.25886	6.11101	54.86994	63.65658	62.52046	69.30807	3.97146	15.67313	33.26515	64.28107	76.04673	43.00830	51.15148	24.67863	87.22554
2018-05-05 10:47:00	359043379931766031	1.00000	9.49766	11.21474	12.89716	13.11176	11.65072	12.10775	7.25901	61.60569	27.82022	45.12982	49.05912	57.57331	20.38940	88.66424	67.31910	51.45055	5.49475	96.96688	58.30016	57.34235
2018-05-05 10:48:00	863033069630348123	1.00000	13.50849	11.75406	10.19987	4.64065	15.58548	13.99666	5.24770	64.75427	52.13936	48.91577	41.89157	85.34606	17.28789	54.29346	53.03646	97.74368	73.34661	37.78986	44.54593	85.79430
2018-05-05 10:49:00	8630330696303482048	1.00000	7.18226	9.63053	11.40808	14.77796	10.36302	14.36106	8.65123	44.34692	44.01031	56.37277	47.42931	30.78929	50.44010	70.95749	43.53584	97.31868	45.22164	48.40835	93.08590	41.82159
2018-05-05 10:50:00	359043379931766411	1.00000	10.15934	10.33540	9.39658	8.96022	11.99811	13.50396	9.38281	58.75936	75.61401	36.55613	48.99744	31.80640	70.81873	97.67401	87.88097	87.15207	67.71011	25.26500	94.21830	4.04745
2018-05-05 10:51:00	863033069630348313	1.00000	10.36069	10.61318	11.08342	9.11325	15.61421	14.76073	8.91351	67.09353	71.41809	33.95621	63.65966	92.71260	68.39894	23.16927	20.80560	93.33398	3.24357	16.38517	68.42727	34.53957
2018-05-05 10:52:00	3590433799317661974	1.00000	6.57402	10.05254	13.37358	13.62802	8.92081	10.49744	7.57030	66.86734	31.90712	36.66199	18.12121	58.50919	90.21835	69.73037	53.46288	64.13050	52.61308	86.29348	53.87936	58.38165
2018-05-05 10:53:00	8630330696303482089	1.00000	11.13191	9.98305	14.96171	9.52659	17.35826	9.42621	8.91317	48.68492	24.26333	65.00571	73.41561	89.24006	9.55754	79.80709	42.41076	28.70999	31.36201	78.31738	73.60554	48.97283
2018-05-05 10:54:00	3590433799317662121	1.00000	14.15435	7.19765	4.38322	9.75283	11.67795	12.67494	8.35554	62.60002	43.49930	50.79432	54.82596	90.06879	25.78900	49.01621	20.30243	35.20690	64.31736	64.03640	75.21020	59.46695
2018-05-05 10:55:00	8630330696303482212	1.00000	13.08817	11.50851	8.89119	8.43705	13.55391	14.27302	7.94871	49.71800	78.78185	42.00612	44.37772	23.87801	42.90287	11.58813	22.61849	34.27114	87.91100	88.73565	59.72884	56.49645
2018-05-05 10:56:00	3590433799317661230	1.00000	13.89710	8.87069	7.02287	9.58302	14.17593	13.34789	9.66526	45.96017	36.17292	74.17440	55.70664	71.88744	90.53108	86.51920	9.92047	86.83361	94.01115	49.98499	96.99238	31.05366
2018-05-05 10:57:00	8630330696303481743	0.00000	8.88157	10.73523	13.88220	5.09533	13.31259	13.51217	11.09658	60.15092	51.14085	63.97960	46.20326	80.51700	86.57257	4.23057	98.16695	81.61065	35.72426	93.10665	29.44230	48.25075
2018-05-05 10:58:00	8630330696303481990	0.00000	7.91606	9.83610	11.67501	4.47281	15.38266	9.43601	14.30972	61.52483	39.68127	53.83690	47.31634	91.49360	45.27063	40.99577	2.53203	85.06881	99.12031	93.03336	92.65604	70.60933
2018-05-05 10:59:00	3590433799317661669	1.00000	6.21452	7.26297	13.05303	12.64893	10.96017	13.37373	9.88718	61.26001	60.10519	61.04301	62.62047	44.47128	82.78176	58.77093	90.62298	37.22820	57.88892	47.88675	86.60423	20.49847
2018-05-05 11:00:00	3590433799317661677	0.00000	10.28239	14.72854	8.33061	14.93373	12.62581	12.93338	13.45476	76.47058	44.84600	35.60005	49.95598	99.35800	53.18373	57.76177	83.54394	53.04961	76.87107	5.20827	93.93634	71.25455
2018-05-05 11:01:00	8630330696303481727	0.00000	12.43891	9.46951	10.54173	14.57931	12.41151	8.78530	11.13921	60.89989	39.88757	60.12939	28.50344	96.07936	94.15299	76.85844	53.48293	65.76088	58.26262	8.27108	8.01468	88.90335
2018-05-05 11:02:00	3590433799317661974	1.00000	11.02573	4.63040	10.16863	7.82601	8.81993	10.65212	12.12131	64.06326	63.21021	49.62771	43.51141	79.37003	55.09955	53.95369	95.58956	42.37738	26.95349	67.25940	41.64318	68.15181
2018-05-05 11:03:00	8630330696303481057	1.00000	9.73280	9.54915	11.00137	12.65605	11.56646	12.86348	7.94500	57.26989	48.94331	43.00055	24.78162	12.68825	9.41505	97.26197	33.66369	52.30384	69.10280	73.57955	70.18793	87.86851
2018-05-05 11:04:00	8630330696303482444	1.00000	16.50564	11.63824	6.93102	9.31413	9.99963	10.72100	5.40699	53.38387	57.79884	38.67411	13.29100	54.64280	28.37701	11.77364	78.40557	96.21473	4.01400	62.50115	15.09545	58.67484
2018-05-05 11:05:00	863033069630348800	1.00000	8.61208	9.00543	10.42887	13.81129	10.67918	14.23515	7.48609	76.46966	43.80858	42.99389	66.45323	14.40013	19.53980	69.10675	40.92296	34.69374	1.84018	76.07414	13.50427	4.01056
2018-05-05 11:06:00	3590433799317661677	1.00000	7.66028	7.05417	11.69216	12.56762	10.82736	13.34668	8.88107	56.51217	48.23136	34.39290	34.55666	5.27524	40.78357	94.63977	45.74612	10.26012	53.30622	88.59116	15.36135	97.66643
2018-05-05 11:07:00	863033069630348883	1.00000	12.43469	9.26131	8.79683	8.57543	14.88635	15.89573	8.21042	68.51715	50.98936	30.99259	64.56322	88.62360	46.07141	45.54697	97.09119	94.68233	20.38010	63.22044	5.10838	40.65404
2018-05-05 11:08:00	3590433799317661289	1.00000	9.51241	8.14922	9.83589	10.45218	13.26355	12.96289	9.82993	61.19969	82.10159	27.79190	48.99978	53.46168	72.01257	86.91435	57.76319	14.81313	38.35367	38.31988	90.85455	39.31798
2018-05-05 11:09:00	3590433799317662337	1.00000	10.16397	12.50547	9.41403	9.55001	15.58952	16.03679	10.03152	45.67637	53.64788	44.34970	26.94815	89.66238	10.57092	64.32271	63.18936	43.83031	29.10322	44.53318	50.84519	34.14339
2018-05-05 11:10:00	359043379931766163	1.00000	11.85285	10.35539	13.86454	13.32465	11.38070	10.54935	9.55396	57.70533	66.50856	43.87727	27.06790	6.17055	6.77181	79.13190	4.37726	9.99002	23.71220	81.73370	29.69779	72.28179
2018-05-05 11:11:00	8630330696303482451	0.00000	9.11109	13.94865	9.26025	13.75435	13.84117	8.35670	8.18103	64.61220	53.14471	64.09088	57.64268	39.11002	87.00896	46.04019	41.30983	53.99825	64.43948	97.01440	96.89955	85.40610
2018-05-05 11:12:00	8630330696303481990	1.00000	9.02276	10.48024	14.78770	9.14869	17.29561	13.31153	8.24831	52.28323	68.84160	39.35547	58.22795	71.45023	40.71205	32.31092	88.04989	88.66734	5.03304	91.28601	41.88102	12.85946
2018-05-05 11:13:00	3590433799317661974	1.00000	13.31316	8.16352	6.67620	9.02818	13.09438	13.78120	7.59977	48.61278	56.21544	38.14691	40.33183	98.44046	68.10756	45.44121	19.91765	81.71404	4.14169	26.04139	59.56967	2.34842
2018-05-05 11:14:00	3590433799317661834	0.00000	9.49128	12.72150	12.42632	10.57503	12.40364	9.02488	6.64774	65.61135	64.12758	63.44230	59.43327	18.01473	30.81784	80.27683	93.22108	28.00140	86.67574	6.71120	21.64242	11.80459
2018-05-05 11:15:00	8630330696303481065	1.00000	13.03603	8.46504	10.41668	14.06399	12.02145	10.83691	6.79423	57.21639	55.28617	57.11768	56.80344	80.09396	36.76619	31.52914	54.21924	55.15763	97.50719	83.10746	4.26907	95.69204
2018-05-05 11:16:00	3590433799317661875	0.00000	8.02924	14.89730	11.69461	11.86941	12.74232	12.57388	11.15143	57.91214	77.41557	59.08203	41.83763	95.21602	67.37667	7.81828	72.04054	1.44994	68.45611	95.57326	58.65864	23.81283
2018-05-05 11:17:00	359043379931766049	0.00000	5.34261	11.45554	10.48020	9.75458	11.86507	12.13449	9.25669	59.72717	51.03303	61.93305	34.39920	86.23632	9.56156	27.75228	67.84435	39.74658	66.58693	5.19309	79.48526	46.08775
2018-05-05 11:18:00	359043379931766148	1.00000	12.27722	8.81750	6.02704	10.60172	14.89481	16.79393	7.42771	57.02815	51.94661	62.38832	46.74869	94.46425	42.84688	98.86267	30.90229	82.82504	63.16141	81.14683	91.64887	87.00368
2018-05-05 11:19:00	3590433799317661552	1.00000	12.04316	8.33893	11.94721	12.31105	7.89660	11.93412	11.43339	46.90151	38.63542	47.03206	63.88692	77.43390	93.48889	55.37114	98.57215	92.73975	50.10673	83.15685	4.66615	2.72883
2018-05-05 11:20:00	3590433799317661933	1.00000	7.00237	7.75601	12.46952	14.71955	10.35908	13.97165	9.11473	60.62873	64.34736	47.34046	60.33343	21.15317	38.41226	15.95393	87.55194	77.29325	1.84913	8.40938	97.81411	24.95644
2018-05-05 11:21:00	359043379931766163	1.00000	9.61722	9.30026	11.03247	7.16262	9.94763	13.51430	7.99405	71.62338	36.39084	79.22322	51.13711	53.22256	0.44542	68.38143	18.87095	37.19326	36.46213	47.87618	80.78984	48.34419
2018-05-05 11:22:00	8630330696303482287	0.00000	5.86361	8.32007	14.03017	10.18374	10.90562	9.47754	10.55907	55.16221	48.03806	43.30747	44.05809	79.98603	94.12767	52.69698	62.21338	41.16314	97.71160	31.75612	82.02140	42.43936
2018-05-05 11:23:00	359043379931766551	1.00000	10.71497	10.62847	15.60538	13.22883	10.66123	4.86287	5.52162	65.77172	55.01303	62.81529	48.45494	74.73800	56.55054	78.29699	58.10154	31.10508	6.42726	98.83761	2.99455	87.33450
2018-05-05 11:24:00	8630330696303481669	1.00000	3.13521	12.45663	10.61810	12.78630	13.04747	14.39987	13.38289	48.03034	59.53904	44.26673	40.94714	51.83429	72.71787	8.40760	26.51773	28.00931	48.37630	81.19177	13.63649	19.27281
2018-05-05 11:25:00	8630330696303481958	0.00000	10.43957	12.94283	12.05030	10.59472	9.05777	9.58982	3.71105	63.88688	29.53949	34.00106	94.50643	96.49008	3.07009	33.44455	66.09494	3.76497	0.38166	13.10650	69.75554	70.16614
2018-05-05 11:26:00	3590433799317661974	1.00000	13.47275	6.92176	7.43127	9.99181	9.01402	13.35115	9.66121	65.15601	34.51777	40.54379	45.20905	1.17164	23.66878	41.77434	43.14672	30.09492	61.54883	80.24943	77.01724	93.56053
2018-05-05 11:27:00	3590433799317661685	1.00000	11.79613	5.33007	10.52906	7.08108	7.66775	8.53487	9.36915	57.96855	40.88688	49.83796	44.22199	41.23311	62.43308	24.43473	89.51009	98.92299	87.10168	36.62286	31.59292	9.79034
2018-05-05 11:28:00	8630330696303481305	1.00000	12.69512	7.35322	7.17123	10.94518	11.38494	14.02878	7.87063	69.30393	72.12423	28.57067	83.21523	48.84608	0.08451	84.04596	14.82069	79.28792	11.12620	62.85145	43.62122	70.21293
2018-05-05 11:29:00	3590433799317661545	1.00000	9.99145	8.00648	13.76762	13.79333	12.30540	12.12137	9.60913	46.25467	21.06182	50.33583	56.09609	53.13855	88.48543	27.01995	69.49267	76.20094	52.81391	21.12269	90.53851	22.96404
2018-05-05 11:30:00	359043379931766114	1.00000	11.73225	8.47139	11.61347	3.74546	13.01319	11.68624	7.59930	55.74030	19.03893	45.98156	31.98524	71.82887	57.82905	77.60543	43.12400	15.08854	86.11227	74.83257	93.35714	71.91439
2018-05-05 11:31:00	863033069630348784	1.00000	13.75667	10.29160	8.21636	7.47867	12.35608	11.76629	7.37486	57.11605	33.19843	25.68518	56.18843	69.91212	54.32791	56.94108	56.11644	98.30980	74.38556	49.01606	20.44650	74.47560
2018-05-05 11:32:00	3590433799317661065	1.00000	8.19023	7.16540	10.18717	11.10978	10.70562	14.88528	7.06679	56.41929	41.36390	53.34136	52.37043	63.34540	1.03883	46.04408	3.97678	40.50393	59.19421	47.86665	70.69440	16.85108
2018-05-05 11:33:00	8630330696303482386	1.00000	12.33929	8.24059	9.03391	8.59183	14.01969	14.83237	9.79765	52.06183	40.99846	45.23889	38.48691	59.75030	3.68139	64.22700	39.70147	93.91024	58.40187	68.00096	40.32299	84.81681
2018-05-05 11:34:00	359043379931766866	1.00000	11.31399	7.23100	12.64502	13.24782	13.79823	12.10708	11.19452	48.58746	48.92792	67.81102	64.03474	65.65947	90.33804	32.20213	5.27562	50.07719	85.65272	72.52428	38.01893	27.44159
2018-05-05 11:35:00	8630330696303482253	1.00000	11.51055	6.66436	10.92644	9.13183	11.60746	10.30884	12.62073	76.46298	48.14709	36.44767	47.63363	11.21881	64.50051	99.42857	87.38277	89.27057	89.03961	82.57341	98.32028	17.26544
2018-05-05 11:36:00	3590433799317661719	1.00000	10.97134	10.39527	12.90409	12.32446	12.45881	12.34743	11.38363	52.74152	61.98611	36.77668	31.20154	10.34845	2.19491	18.89207	58.73104	14.62744	59.77974	44.12924	6.02308	87.05211
2018-05-05 11:37:00	3590433799317661263	1.00000	10.68298	6.73289	10.43617	7.61149	13.76776	13.13313	7.97925	82.49485	49.96252	53.19780	51.28802	88.65051	28.62502	32.90273	96.70969	8.01464	5.09955	7.46560	84.59233	34.18099
2018-05-05 11:38:00	359043379931766122	0.00000	9.28461	15.02770	13.25149	8.42326	17.15220	8.34351	11.64532	50.31583	35.97017	67.01928	59.24183	72.55686	51.67070	90.52958	82.30743	49.98764	37.91377	46.30852	76.64773	42.86247
2018-05-05 11:39:00	3590433799317661735	1.00000	13.76846	9.70583	9.24866	9.68747	11.25195	10.67298	9.39322	59.12155	55.53958	59.50512	42.41331	86.35840	18.24407	72.64194	80.30576	3.74820	76.43812	27.89622	89.30168	39.58648
2018-05-05 11:40:00	3590433799317662303	0.00000	9.52005	11.16359	12.77417	8.48410	9.68942	11.84999	13.54391	66.27345	33.48897	55.11311	53.28331	11.37377	1.56378	93.38509	15.65176	71.29984	23.09462	68.33297	84.18758	93.06590
2018-05-05 11:41:00	863033069630348339	1.00000	5.14710	11.38250	12.03359	15.51328	13.37271	16.93333	4.82838	55.30158	63.96268	28.02743	48.46528	94.18607	18.25716	71.02130	78.34651	71.43053	27.30584	74.52791	40.86995	11.90945
2018-05-05 11:42:00	863033069630348701	1.00000	11.26999	7.28987	10.52934	8.56316	13.15440	10.04366	9.30799	55.15302	45.43866	57.14655	55.77711	56.90821	58.14114	36.77599	68.82209	54.41768	93.42203	94.07162	46.36125	5.28027
2018-05-05 11:43:00	8630330696303481396	0.00000	9.28210	11.39159	12.88878	8.78730	10.80269	12.10055	11.99319	62.93689	36.83804	39.17752	61.37338	26.49923	82.82301	82.50420	24.42466	9.23449	82.09135	38.79992	22.77779	94.13638
2018-05-05 11:44:00	863033069630348834	1.00000	10.99842	9.52145	8.95580	8.52835	16.62244	12.19925	9.26307	35.91483	42.65986	59.27096	46.01814	85.04328	47.73680	86.91047	60.90937	9.73283	98.34048	93.20273	27.37131	3.98182
2018-05-05 11:45:00	8630330696303481792	1.00000	16.03861	7.99687	7.62637	12.02965	8.67573	9.82817	11.33509	62.60447	57.26324	52.08749	52.05091	31.06323	0.92124	68.23606	35.03607	47.50636	62.38999	0.51603	58.74586	89.53820
2018-05-05 11:46:00	3590433799317661131	1.00000	9.12446	6.24925	12.17585	10.13615	13.12921	11.04354	9.70039	56.67167	48.82405	37.85944	59.46734	73.14469	62.22761	89.68314	16.89780	75.69220	55.27542	98.11177	38.66542	19.70666
2018-05-05 11:47:00	8630330696303481768	0.00000	8.91962	12.46240	10.89872	12.69384	11.11790	9.15429	8.93385	37.28469	41.46408	51.34148	36.70536	99.57839	11.66383	35.84843	10.12465	53.92415	50.26852	78.30888	1.47811	17.07713
